Ngay,San pham,So luong,Don gia,Doanh thu,Ghi chu
06/09,Banh mi heo quay,4 o,30000,120000,Khach quen. Khop. Xem dong 11/09 cung mat hang gia 35000.
06/09,Xoi ga,2 hop,35000,70000,Khach Zalo. Khop. Ten khac "xoi ga xe" 10/09.
06/09,Banh bao kim sa,3 chiec,20000,60000,Khach vang lai. Khop. Don vi "chiec" khac "cai".
07/09,Banh mi pate cha,6 o,25000,150000,Khop.
07/09,Ca phe sua da,2 ly,22000,44000,Khop.
07/09,Xoi xa xiu,2 hop,,76000,THIEU DU LIEU: khong ghi don gia. Khong suy doan.
08/09,Banh mi op la,5 o,20000,100000,Khop.
08/09,Banh mi ga nuong xe,,30000,90000,THIEU DU LIEU: khong ghi so luong. Khong suy doan.
09/09,Don gop: banh mi xiu mai + xoi man dac biet,3 o + 2 hop,,174000,THIEU DU LIEU: thu gop 174000 cho ca hai mat hang, khong tach duoc.
09/09,Banh bao chay,10 cai,15000,140000,SAI LECH: 10 x 15000 = 150000 nhung so ghi thu 140000, lech 10000.
10/09,Xoi ga xe,2 hop,35000,70000,Khop. Ten khac "xoi ga" 06/09.
10/09,Banh mi thit nguoi,3 o,32000,96000,Khach quen. Khop.
11/09,Banh mi heo quay,2 o,35000,70000,Khop. Cung tuan hai gia khac nhau voi dong 06/09.
11/09,Xoi thit kho trung,3 hop,40000,120000,Khop.
11/09,Banh bao trung muoi,4 cai,25000,100000,Khop.
12/09,Banh mi xa xiu,2 o,28000,56000,Khach qua lay. Khop.
12/09,Ca phe den da,3 ly,18000,54000,Khop.
12/09,Xoi man dac biet,1 hop,45000,,THIEU DU LIEU: khong ghi so tien thu.
13/09,Banh mi op la,2 o,20000,40000,Khach vang lai. Khop. Ngay ngoai tuan 06-12/09.
