Ngay,San pham,So luong,Don gia,Doanh thu,Ghi chu
28/08,Banh mi heo quay,3 o,30000,90000,Khach quen. Khop.
28/08,Xoi ga xe,2 hop,35000,70000,Khach Zalo. Khop.
29/08,Banh mi pate cha,5 o,25000,125000,Khach quen. Khop.
29/08,Xoi xa xiu,1 hop,35000,35000,Khach qua lay. Khop.
30/08,Banh bao trung muoi,,25000,,THIEU DU LIEU: khong ghi so luong va so tien thu.
30/08,Banh mi op la,4 o,20000,80000,Khach vang lai. Khop.
31/08,Banh mi ga nuong xe,3 o,30000,90000,Giao chi Hoa. Khop.
31/08,Xoi thit kho trung,2 hop,40000,80000,Khach Zalo. Khop.
01/09,Xoi xa xiu lap xuong,3 hop,,96000,THIEU DU LIEU: khong ghi don gia. Khong suy doan.
01/09,Banh mi pate cha,2 o,25000,50000,Khop.
02/09,Banh bao chay,10 cai,15000,150000,Don si nho. Khop.
02/09,Xoi ga,2 hop,35000,70000,Khach quen. Khop. Ten hang khac voi "xoi ga xe" 28/08.
03/09,Don gop: banh mi xa xiu + ca phe den da,4 o + 2 ly,,170000,THIEU DU LIEU: thu gop 170000 cho ca hai mat hang, khong tach duoc don gia. Khach Zalo.
03/09,Xoi man dac biet,2 hop,45000,90000,Khop.
04/09,Banh mi xiu mai,4 o,28000,122000,SAI LECH: 4 x 28000 = 112000 nhung so ghi thu 122000, lech 10000.
04/09,Ca phe sua da,2 ly,22000,44000,Khach vang lai. Khop.
05/09,Banh mi thit nguoi,1 o,30000,30000,Khach quen. Khop.
05/09,Banh bao kim sa,3 cai,20000,60000,Khach si nho. Khop.
